,IRASPSC,F450,F450_err,F450_qual,F850,F850_err,F850_qual,alpha,alpha_ci_low,alpha_ci_hi,alpha_ci_qual
49,IRAS12106-3350,331.505835,110.50194499999999,-1,15.299999999999999,5.1,-1,,,,-99
50,IRAS12387-3717,289.95302754,96.65100918,-1,15.870000000000001,5.29,-1,,,,-99
51,IRAS13001+0527,347.7516726,33.17172357,0,97.6,7.808,0,-1.996609998844672,-2.4442385034187897,-1.5504010306649882,0
52,IRAS13114-0232,363.3284423,58.51740677,0,119.7,9.576,0,-1.750543213557764,-2.395300712538943,-1.1009589265228457,0
53,IRAS13172+4547,161.03565714,53.67855238,-1,13.71,4.57,-1,,,,-99
54,IRAS13269-2301,785.3566546,101.49637370000002,0,196.3,15.704,0,-2.1790566148138977,-2.7278577175446634,-1.630517879825607,0
55,IRAS13462-2807,2624.6,209.968,0,576.0,46.08,0,-2.3821004006120945,-2.7907503937640867,-1.9750993585765093,0
56,IRAS14020-3515,259.88397539999994,86.62799179999999,-1,15.450000000000001,5.15,-1,,,,-99
57,IRAS14247+0454,273.53012001,91.17670667,-1,19.4,2.61,0,0.4789088269050945,-5.76281296608941,5.0,1
58,IRAS14280-2952,209.26475546999998,69.75491849,-1,33.2,4.43,0,1.1274977755749882,-4.269124325236965,5.0,1
59,IRAS14371+3245,345.23833020000006,115.07944340000002,-1,17.7,2.64,0,0.22801608347382,-6.36833329499943,5.0,1
60,IRAS14390+3147,258.86290266000003,86.28763422,-1,13.799999999999999,4.6,-1,,,,-99
61,IRAS15214-2244,171.6508325,49.17283596,0,26.1,4.720000000000001,0,-2.970584300778783,-4.195607898070919,-1.7481021281271905,0
62,IRAS15223-0203,274.87796439,91.62598813,-1,11.0,2.3999999999999995,0,0.006477573991999329,-6.834825888307004,5.0,1
63,IRAS15226-3603,396.5840736,132.1946912,-1,29.7,5.0,0,0.5076996315577844,-5.649611047656014,5.0,1
64,IRAS15255+1944,277.06941894,92.35647298,-1,19.8,2.44,0,0.4713340674321986,-5.748326208661859,5.0,1
65,IRAS15341+1515,125.80941170000001,37.237130650000005,0,34.0,4.409999999999999,0,-2.054117997299518,-3.217216917193736,-0.8873230951452662,0
66,IRAS15566+3609,277.06672569,92.35557523,-1,14.16,4.72,-1,,,,-99
67,IRAS16029-3041,188.7988155,46.56186,0,41.3,4.719999999999999,0,-2.392004577209028,-3.369462424369745,-1.4104608050965624,0
68,IRAS16081+2511,156.23087619,52.07695873,-1,37.7,4.06,0,1.4320742181092354,-3.5118251935368523,5.0,1
69,IRAS16418+5459,134.8067256,44.9355752,-1,18.4,2.42,0,0.9822798231928518,-4.5351381713901695,5.0,1
70,IRAS16534-3030,308.0909964,102.6969988,-1,34.4,4.75,0,0.8076450506096877,-4.94655744253453,5.0,1
71,IRAS16589-3315,346.19990609999996,115.39996869999999,-1,15.24,5.08,-1,,,,-99
72,IRAS17010-3840,387.54774,129.18258,-1,18.9,6.3,-1,,,,-99
73,IRAS17080-3215,363.9198924,121.3066308,-1,80.2,6.416,0,1.3666575565020984,-3.650042335944816,5.0,1
74,IRAS17102-1031,211.77702000000002,70.59234000000001,-1,36.1,4.3,0,1.1651719383202674,-4.150944104833769,5.0,1
